pref,store_type,payment_type,industry_type,month,store
佐賀県小計,通信販売,合計,合計,6,568.4615384615385
兵庫県小計,合計,QRコード　利用可能店,合計,6,16101.384615384615
兵庫県小計,合計,その他電子マネー等　利用可能店,合計,6,16702.884615384617
兵庫県小計,合計,クレジットカード　利用可能店,合計,6,29472.346153846152
兵庫県小計,合計,合計,合計,6,39484.61538461538
兵庫県小計,固定店舗,QRコード　利用可能店,その他サービス業,6,4686.076923076923
兵庫県小計,固定店舗,QRコード　利用可能店,小売業,6,6915.884615384615
兵庫県小計,固定店舗,QRコード　利用可能店,飲食業,6,3593.3846153846152
兵庫県小計,固定店舗,その他電子マネー等　利用可能店,その他サービス業,6,4184.0
兵庫県小計,固定店舗,その他電子マネー等　利用可能店,小売業,6,6516.423076923077
兵庫県小計,固定店舗,その他電子マネー等　利用可能店,飲食業,6,2658.3076923076924
兵庫県小計,固定店舗,クレジットカード　利用可能店,その他サービス業,6,8201.538461538461
兵庫県小計,固定店舗,クレジットカード　利用可能店,小売業,6,12755.192307692309
兵庫県小計,固定店舗,クレジットカード　利用可能店,飲食業,6,5023.923076923077
兵庫県小計,固定店舗,合計,その他サービス業,6,10266.23076923077
兵庫県小計,固定店舗,合計,小売業,6,15350.153846153846
兵庫県小計,固定店舗,合計,飲食業,6,7049.423076923077
兵庫県小計,移動販売等（タクシー、屋台など）,QRコード　利用可能店,合計,6,770.7307692307693
兵庫県小計,移動販売等（タクシー、屋台など）,その他電子マネー等　利用可能店,合計,6,397.0
兵庫県小計,移動販売等（タクシー、屋台など）,クレジットカード　利用可能店,合計,6,802.9230769230769
兵庫県小計,移動販売等（タクシー、屋台など）,合計,合計,6,1327.6923076923076
兵庫県小計,通信販売,QRコード　利用可能店,合計,6,135.30769230769232
兵庫県小計,通信販売,その他電子マネー等　利用可能店,合計,6,2947.153846153846
兵庫県小計,通信販売,クレジットカード　利用可能店,合計,6,2688.769230769231
兵庫県小計,通信販売,合計,合計,6,5491.115384615385
北海道小計,合計,QRコード　利用可能店,合計,6,18177.30769230769
北海道小計,合計,その他電子マネー等　利用可能店,合計,6,18015.96153846154
北海道小計,合計,クレジットカード　利用可能店,合計,6,35750.692307692305
北海道小計,合計,合計,合計,6,45004.38461538462
北海道小計,固定店舗,QRコード　利用可能店,その他サービス業,6,4350.0
北海道小計,固定店舗,QRコード　利用可能店,小売業,6,8528.615384615385
北海道小計,固定店舗,QRコード　利用可能店,飲食業,6,3538.0384615384614
北海道小計,固定店舗,その他電子マネー等　利用可能店,その他サービス業,6,4041.3846153846152
北海道小計,固定店舗,その他電子マネー等　利用可能店,小売業,6,8695.384615384615
北海道小計,固定店舗,その他電子マネー等　利用可能店,飲食業,6,3104.5
北海道小計,固定店舗,クレジットカード　利用可能店,その他サービス業,6,9246.192307692309
北海道小計,固定店舗,クレジットカード　利用可能店,小売業,6,17699.76923076923
北海道小計,固定店舗,クレジットカード　利用可能店,飲食業,6,5905.346153846154
北海道小計,固定店舗,合計,その他サービス業,6,11217.153846153846
北海道小計,固定店舗,合計,小売業,6,20410.423076923078
北海道小計,固定店舗,合計,飲食業,6,7705.2307692307695
北海道小計,移動販売等（タクシー、屋台など）,QRコード　利用可能店,合計,6,1672.3461538461538
北海道小計,移動販売等（タクシー、屋台など）,その他電子マネー等　利用可能店,合計,6,632.4230769230769
北海道小計,移動販売等（タクシー、屋台など）,クレジットカード　利用可能店,合計,6,1132.4615384615386
北海道小計,移動販売等（タクシー、屋台など）,合計,合計,6,2430.6153846153848
北海道小計,通信販売,QRコード　利用可能店,合計,6,88.3076923076923
北海道小計,通信販売,その他電子マネー等　利用可能店,合計,6,1542.2692307692307
北海道小計,通信販売,クレジットカード　利用可能店,合計,6,1766.923076923077
北海道小計,通信販売,合計,合計,6,3240.9615384615386
千葉県小計,合計,QRコード　利用可能店,合計,6,11057.384615384615
千葉県小計,合計,その他電子マネー等　利用可能店,合計,6,13979.192307692309
千葉県小計,合計,クレジットカード　利用可能店,合計,6,23077.846153846152
千葉県小計,合計,合計,合計,6,29205.80769230769
千葉県小計,固定店舗,QRコード　利用可能店,その他サービス業,6,3282.4615384615386
千葉県小計,固定店舗,QRコード　利用可能店,小売業,6,5027.7307692307695
千葉県小計,固定店舗,QRコード　利用可能店,飲食業,6,2150.923076923077
千葉県小計,固定店舗,その他電子マネー等　利用可能店,その他サービス業,6,3447.4615384615386
千葉県小計,固定店舗,その他電子マネー等　利用可能店,小売業,6,5481.307692307692
千葉県小計,固定店舗,その他電子マネー等　利用可能店,飲食業,6,2204.230769230769
千葉県小計,固定店舗,クレジットカード　利用可能店,その他サービス業,6,6857.423076923077
千葉県小計,固定店舗,クレジットカード　利用可能店,小売業,6,9643.73076923077
千葉県小計,固定店舗,クレジットカード　利用可能店,飲食業,6,3852.269230769231
千葉県小計,固定店舗,合計,その他サービス業,6,8282.307692307691
千葉県小計,固定店舗,合計,小売業,6,11037.653846153846
千葉県小計,固定店舗,合計,飲食業,6,4964.115384615385
千葉県小計,移動販売等（タクシー、屋台など）,QRコード　利用可能店,合計,6,528.7692307692307
千葉県小計,移動販売等（タクシー、屋台など）,その他電子マネー等　利用可能店,合計,6,841.0769230769231
