,year,term,country,c_all,c_within_3days,c_4to6days,c_7to13days,c_14to20days,c_21to27days,c_28to90days,c_91days_to_1year,c_male_all,c_male10s,c_male20s,c_male30s,c_male40s,c_male50s,c_male60s,c_male_over70,c_female_all,c_female10s,c_female20s,c_female30s,c_female40s,c_female50s,c_female60s,c_female_over70,c_japan_first,c_japan_second,c_japan_third,c_japan_fourth,c_japan_fifth,c_japan_sixth_to_ninth,c_japan_10_to_19,c_japan_over20,c_japan_zenkai_hajimete,c_japan_zenkai_ari,c_japan_zenkai_1year,c_japan_zenkai_3year,c_japan_zenkai_5year,c_japan_zenkai_10year,c_japan_zenkai_over10year,c_japan_pastyear_0,c_japan_pastyear_1,c_japan_pastyear_2,c_japan_pastyear_3to5,c_japan_pastyear_6to9,c_japan_pastyear_over10,c_single,c_partner,c_family,c_colleague,c_friend,c_doukou_other,c_hotel,c_ryokan,c_condo,c_ryo,c_friend_house,c_hostel,c_capsule,c_yuryo,c_stay_other,c_no_stay,c_tour,c_package,c_own,c_store,c_web,c_phone,c_income_500,c_income_1000,c_income_2000,c_income_3000,c_income_over3000,c_income_unknown,c_fsa,c_lcc,c_ship,a_all,a_within_3days,a_4to6days,a_7to13days,a_14to20days,a_21to27days,a_28to90days,a_91days_to_1year,a_male_all,a_male10s,a_male20s,a_male30s,a_male40s,a_male50s,a_male60s,a_male_over70,a_female_all,a_female10s,a_female20s,a_female30s,a_female40s,a_female50s,a_female60s,a_female_over70,a_japan_first,a_japan_second,a_japan_third,a_japan_fourth,a_japan_fifth,a_japan_sixth_to_ninth,a_japan_10_to_19,a_japan_over20,a_japan_zenkai_hajimete,a_japan_zenkai_ari,a_japan_zenkai_1year,a_japan_zenkai_3year,a_japan_zenkai_5year,a_japan_zenkai_10year,a_japan_zenkai_over10year,a_japan_pastyear_0,a_japan_pastyear_1,a_japan_pastyear_2,a_japan_pastyear_3to5,a_japan_pastyear_6to9,a_japan_pastyear_over10,a_single,a_partner,a_family,a_colleague,a_friend,a_doukou_other,a_hotel,a_ryokan,a_condo,a_ryo,a_friend_house,a_hostel,a_capsule,a_yuryo,a_stay_other,a_no_stay,a_tour,a_package,a_own,a_store,a_web,a_phone,a_income_500,a_income_1000,a_income_2000,a_income_3000,a_income_over3000,a_income_unknown,a_fsa,a_lcc,a_ship
10,2018,1,India,111074.2295,17496.225,70467.4972,153430.7687,75937.2364,,,,121557.4779,,117416.4481,127556.8689,139613.3878,133124.2939,75364.3858,,87307.8129,,102540.9956,97050.5955,27000.0,,,,116646.8276,27250.0,205817.9257,,,72500.0,,71016.9281,116646.8276,80234.5229,205817.9257,40254.8988,77625.4945,,72500.0,108519.7631,,205817.9257,,,,94523.0797,197081.9788,81720.9797,109200.0,85556.7401,185000.0,126770.4875,175876.2657,,10000.0,66893.5184,89807.2474,109200.0,103873.4037,121117.4864,,10000.0,18518.8281,119067.0289,98441.6505,117362.249,,102522.7203,44500.0,291530.07,,589600.662,93136.6902,125017.9183,62861.698,,39,2,12,20,5,0,0,0,27,0,6,11,3,4,3,0,12,0,5,5,2,0,0,0,33,2,1,0,0,1,0,2,33,6,1,3,1,0,1,38,0,1,0,0,0,15,7,12,1,3,1,25,7,0,1,6,6,1,6,2,0,1,2,36,13,26,0,4,1,1,0,1,32,30,9,0
11,2018,1,UK,193597.9997,61403.4773,93601.9132,158119.6003,235630.7932,413781.0408,309936.4892,,188296.3907,409588.3497,186755.4556,142701.5425,102833.4849,226185.9039,451248.1779,80987.05,205750.8686,175177.2354,152730.6776,283639.6988,187572.9068,156500.0,283283.7602,,187334.5771,195535.3335,169023.3355,,323696.0788,214875.3271,104861.1867,,187334.5771,206697.8855,164125.3109,194524.713,335742.5618,111658.7703,296894.6562,197287.4732,175985.9809,143379.7186,,,,177782.7976,193535.3067,242988.8272,,194184.1736,,209670.8882,259407.6891,,,198541.3547,236906.1725,156138.4501,159805.9508,194214.8823,,73439.8567,115900.3779,202272.0724,145347.2078,203799.624,106581.1459,166712.1586,168763.9667,214717.1576,,98333.3333,199146.013,197085.3071,128393.7182,,99,2,12,43,34,6,2,0,69,2,32,21,4,6,3,1,30,2,13,9,3,1,2,0,67,16,6,0,5,3,2,0,67,32,11,10,4,3,4,88,7,4,0,0,0,35,34,11,0,19,0,75,23,0,0,5,12,6,25,5,0,2,7,90,14,83,2,5,13,7,0,1,73,94,5,0
12,2018,1,Germany,170328.6521,7812.3621,90792.9442,170755.1882,215318.0389,145411.8934,398178.1065,,196482.3549,51400.0,204426.3054,181355.3899,283496.7782,179451.4907,129751.0556,2875.0,116889.854,137012.2526,126293.3754,128097.0284,105813.7668,99016.4673,21854.5857,,156636.4993,225817.7111,200304.1331,196654.5334,180472.2998,227531.877,137037.586,26380.6484,156636.4993,195854.3399,174343.9707,215592.1322,166703.6123,556133.116,,169245.8932,185598.3861,167341.6753,137037.586,,,168424.5335,134436.6366,195978.0586,,203501.2767,5648.705,184594.9927,156431.5552,,126289.5571,134476.7278,145818.5527,,222899.6282,127035.7551,,82508.2721,4781.5416,183501.6112,152745.4628,174098.8559,,180919.3807,146528.874,,,,170510.654,172423.7703,59393.7122,,104,4,14,53,22,7,4,0,70,1,30,20,10,4,3,2,34,2,17,7,3,3,2,0,68,11,12,5,3,2,1,2,68,36,22,10,3,1,0,82,10,11,1,0,0,45,23,11,0,24,1,71,13,0,1,13,14,0,18,8,0,8,3,93,18,86,0,8,4,0,0,0,92,102,2,0
13,2018,1,France,171393.5949,23221.8728,111774.4212,132560.4134,191924.7795,162747.4966,456069.2448,,162897.7156,16860.9364,164613.825,207873.061,201363.9503,97672.3768,117195.0,205866.26,189146.2617,127110.498,222696.6265,163661.3962,88887.9003,134971.4229,362298.57,162981.595,134464.4283,225652.4277,230325.3744,480810.888,243786.252,338000.0,172669.7878,212676.7396,134464.4283,242802.588,280821.6172,244067.5673,157659.747,134998.4178,,153805.8063,252176.7635,212876.5655,388701.9747,,,203486.2543,187767.5707,139654.9769,212676.7396,147872.364,84028.5714,160227.3625,153807.4013,,,166572.6824,252981.129,164644.6725,197994.0966,224956.305,,40898.1254,25304.0901,193146.9895,146306.5404,179663.9808,162981.595,212566.6121,147797.3542,184000.0,,140000.0,168925.6697,171943.5675,157774.3362,,74,1,2,39,22,5,5,0,50,2,20,12,6,7,2,1,24,4,9,5,2,1,2,1,49,9,6,1,1,3,4,1,49,25,10,11,1,3,0,64,4,3,3,0,0,20,18,13,1,21,1,39,16,0,0,13,8,2,26,3,0,6,4,64,18,55,1,8,7,1,0,1,57,71,3,0
14,2018,1,Italy,206079.9429,,131715.738,166544.7693,273188.0039,51986.8436,5333.3333,,205191.4539,296027.795,216886.3728,218220.0724,135175.8736,117123.726,,,208567.7119,,109996.9309,255786.9932,220964.367,,,,208152.4121,119663.2208,,354955.4206,192544.8928,,220964.367,,208152.4121,199401.9863,248979.7857,119597.632,491539.1859,178668.361,218371.6553,204920.4877,248979.7857,,,,,131462.5163,220578.8169,157688.7134,,232760.8755,,210215.9365,231317.9278,,,134152.5312,209039.4138,524724.74,321879.9046,379048.6238,,,166551.948,207148.2671,250039.6347,192437.2799,,143966.4538,155841.3375,128500.0,,,224661.4327,210055.0765,59000.0,,38,0,1,18,17,1,1,0,28,1,7,15,4,1,0,0,10,0,3,6,1,0,0,0,29,4,0,2,2,0,1,0,29,9,1,4,1,2,1,37,1,0,0,0,0,5,17,4,0,12,0,30,12,0,0,5,6,1,6,1,0,0,1,37,9,29,0,5,3,1,0,0,29,37,1,0
15,2018,1,Spain,158938.1268,37000.0,123999.0584,133984.2856,250527.6224,148814.7133,134000.0,,172156.1685,65500.0,178222.7622,178067.1015,196479.2038,121333.8104,,,120485.6419,,41750.0,124369.3538,148124.7693,,175620.984,,149388.638,437721.998,,134000.0,68250.0,139243.912,,100166.6667,149388.638,208049.7838,134000.0,314564.6653,110487.824,134083.3333,,159531.8917,134000.0,,,,,123525.3901,109998.1787,193016.9868,107501.3296,229009.7292,169308.1158,135879.9207,201428.1409,172294.14,,152466.6667,207247.4092,167947.07,240282.039,220985.3063,,10951.155,69250.5471,171126.5654,134587.4647,170693.6189,,264651.109,201132.2711,162981.2505,,205900.0,132618.4995,157819.987,205900.0,,43,1,4,24,10,3,1,0,32,1,10,13,5,3,0,0,11,0,2,5,3,0,1,0,36,2,0,1,1,2,0,1,36,7,1,3,1,2,0,42,1,0,0,0,0,9,13,6,1,11,3,32,7,1,0,3,7,2,12,4,0,2,2,39,14,29,0,6,3,2,0,1,31,42,1,0
16,2018,1,Russia,180107.8448,141092.8553,110616.4045,190861.4541,212956.868,315500.0,,,206594.3924,76804.6,255096.8203,184299.67,220389.3855,211806.223,126549.64,,148861.9098,302507.4357,122626.2863,123164.1692,179008.0019,86941.4775,66250.0,,156585.0662,181992.9232,187243.1325,485821.4667,112600.0,238997.2789,157454.496,225965.504,156585.0662,200631.6133,227016.7638,181479.5104,177995.4344,92959.38,168087.8476,163175.3098,205461.9584,234677.964,243389.8959,,,164167.2293,176250.4325,189656.8433,24000.0,210397.1165,79909.2,190537.3601,182958.6377,,149000.0,171783.2343,119957.57,48115.48,70032.7917,243897.8001,,79909.2,,182216.3606,223037.1467,162585.6197,108627.2369,187952.9486,140363.741,66250.0,,,181363.4986,180107.8448,,,54,2,10,36,5,1,0,0,29,2,8,6,7,5,1,0,25,3,4,9,4,4,1,0,23,8,4,1,1,6,7,4,23,31,16,9,3,1,2,38,5,7,4,0,0,14,10,16,1,12,1,41,8,0,1,5,2,1,4,2,0,1,0,53,18,33,3,8,1,1,0,0,44,54,0,0
17,2018,1,USA,169800.7048,45883.0602,114272.9204,181421.3379,242195.4131,265666.8114,344556.7712,130004.869,179780.0079,156760.0575,180360.992,202168.9277,164213.6976,122087.7873,223671.5829,136229.5637,152314.4298,124703.7432,156602.6715,163862.8284,158806.196,139863.1212,91050.3279,174507.4169,169918.2725,179535.7808,193733.9467,173820.9626,105610.839,128595.992,183833.3974,119691.7183,169918.2725,169576.1063,178970.8998,150163.283,116289.7872,190903.3946,253304.1562,168285.9383,193285.4094,166441.1842,131491.0057,272975.9012,109412.8303,168926.2744,157758.3173,148183.8046,83747.7443,207185.1528,229646.4774,175338.5415,228778.3363,98816.9226,,118203.0966,166965.9489,170322.8828,199145.7127,247080.964,,111610.0106,98809.826,174431.5932,137330.9697,176503.3697,133961.0736,134903.7836,145158.1665,162957.7305,129990.5962,274409.3441,173809.8542,170890.6851,147410.9716,,537,48,113,276,77,9,13,1,341,11,134,101,46,33,13,3,196,3,77,58,24,16,15,3,349,87,31,18,10,18,13,11,349,188,80,57,20,19,12,457,46,18,10,3,3,196,131,90,7,108,5,372,89,4,0,55,59,12,131,11,0,18,18,501,69,446,22,20,41,47,11,8,410,512,25,0
18,2018,1,Canada,167544.8607,63061.0272,124183.9588,152796.6874,222716.4563,321114.9141,235455.3924,,165723.0335,111545.7002,160945.3035,188202.9316,107030.8013,198921.398,152835.6282,,170326.6681,,173920.1847,163528.8577,194334.9453,130329.5062,285691.3122,,154712.3076,220809.7906,106041.2266,268955.1723,126689.7193,127651.683,330645.4828,175926.4326,154712.3076,189841.1728,181522.6482,184137.0164,234405.3783,195507.8842,64871.548,164721.5987,192128.3837,121594.1142,,,,180152.6336,184284.3692,126405.7794,47000.0,176712.6917,6828.584,182697.7068,190119.8222,121737.9387,307439.9439,117878.471,176795.8055,151856.9752,188697.6788,155411.0879,,12096.0909,127229.3298,175434.5365,161245.4177,165108.2215,338527.2664,103251.065,153433.8486,434326.3948,190697.8061,,164211.7755,168962.6217,128817.0923,,121,5,27,55,25,6,3,0,73,4,30,19,6,10,4,0,48,0,23,15,4,5,1,0,77,19,9,2,4,4,4,2,77,44,20,11,7,5,1,101,17,3,0,0,0,45,28,24,1,22,1,78,26,1,1,16,18,8,16,10,0,5,3,113,20,99,2,8,9,3,5,0,96,117,4,0
19,2018,1,Australia,226836.3999,,82123.1083,198955.9898,243283.9224,310701.4624,250677.409,,231959.6836,174821.3578,219018.7019,287030.8246,263459.2265,149767.668,379016.5839,,217371.319,181339.4268,259513.1026,196713.8237,109906.7252,264571.9271,177805.914,,231637.5083,234721.3848,222300.7233,188537.0441,212450.9564,236131.2619,112334.787,191609.772,231637.5083,220619.3124,195926.6348,256610.2567,240710.3706,165583.632,532500.0,235216.5549,220243.2157,152248.1142,122736.0381,108042.3321,,233590.0267,260462.4723,191790.2934,256925.292,230825.6208,162321.2094,232738.7051,215061.6625,222143.5819,,212933.969,206479.0837,232799.282,263845.7466,217124.883,,113042.2889,147921.8017,238976.6843,190322.2851,241952.389,,237553.0262,199301.3114,281566.0316,224357.2122,346510.91,220188.3771,229002.9543,220301.2938,,197,0,8,76,83,20,10,0,128,13,61,20,20,10,4,0,69,9,33,8,11,7,1,0,111,36,23,7,9,7,3,1,111,86,42,24,12,7,1,155,28,12,1,1,0,36,53,60,1,45,2,143,41,2,0,11,35,7,68,9,0,3,22,172,58,139,0,8,16,20,9,2,142,148,49,0
20,2018,1,Other,186474.7066,30636.5589,142296.0407,156320.7776,213632.8822,308601.4435,301207.2704,,178682.0557,157377.8017,130296.3693,178677.0724,246757.8186,255804.3711,226287.0014,179152.0,199715.4851,166298.9116,204161.7744,199046.9689,265845.513,112111.756,180595.5598,491800.583,182923.123,218672.6999,196408.0637,88151.3784,178383.7176,325380.1946,133550.4097,122067.448,182923.123,195537.0736,165589.7989,212351.8191,296225.8827,169446.235,191509.6567,188968.4012,142562.4105,196941.3039,122067.448,,,157354.6412,194729.0702,201140.2889,139698.51,199684.9665,106834.2054,189859.6911,195121.22,,,186029.8629,209693.5132,182472.2805,216435.6279,360553.9176,,210948.9277,93312.308,193753.7032,174084.2047,189792.4111,130710.5116,156684.7492,183879.6096,241708.0645,180098.9584,60465.496,187098.6373,191623.8318,116933.2689,,163,8,10,74,48,14,9,0,103,6,40,26,16,11,3,1,60,6,20,17,7,7,2,1,116,17,10,5,6,4,3,2,116,47,18,19,3,3,4,145,8,8,2,0,0,44,40,35,1,42,1,122,22,0,0,15,29,7,38,5,0,3,12,148,29,132,2,13,7,9,1,1,132,152,11,0
